date,rent,utility,fee,parking,total
08/21,929,23.19,4.5,0,956.69
09/21,929,18.9,4.5,0,952.4
10/21,929,24.15,4.5,0,957.65
11/21,929,17.07,4.5,0,950.57
12/21,929,16.36,4.5,0,949.86
01/22,929,24.11,4.5,0,957.61
02/22,929,22.32,4.5,0,955.82
03/22,929,34.53,4.5,0,968.03
04/22,929,22.21,4.5,0,955.71
05/22,929,21.09,4.5,0,954.59
06/22,929,16.23,4.5,0,949.73
07/22,929,4.29,4.5,0,937.79
08/22,929,4.36,4.5,0,937.86
09/22,999,21.3,4.5,100,1124.8
10/22,999,38.41,4.5,100,1141.91
11/22,999,20.97,4.5,100,1124.47
12/22,999,23,4.5,100,1126.5
01/23,999,21.59,4.5,100,1125.09
02/23,999,16.09,4.5,100,1119.59
03/23,999,32.55,4.5,100,1136.05